,event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench,manager_id
12249,14,48.0,728.0,8201102.0,8202423.0,5210472.0,80.0,1.0,1008.0,0.0,0.0,0.0,229264
12250,15,85.0,813.0,76402.0,76519.0,3839771.0,1.0,4.0,1005.0,1.0,0.0,0.0,229264
12251,16,50.0,863.0,4630460.0,4631093.0,3800182.0,45.0,13.0,1006.0,3.0,0.0,7.0,229264
12252,17,37.0,900.0,9317582.0,9317705.0,4765389.0,90.0,18.0,1008.0,2.0,0.0,11.0,229264
12253,18,56.0,956.0,4685629.0,4687786.0,4677593.0,45.0,11.0,1011.0,1.0,0.0,12.0,229264
12254,19,62.0,1018.0,6606464.0,6608110.0,4864658.0,60.0,35.0,1011.0,0.0,0.0,19.0,229264
12255,20,71.0,1089.0,2512107.0,2514056.0,4638443.0,25.0,35.0,1020.0,0.0,0.0,15.0,229264
12256,21,74.0,1163.0,1745573.0,1747696.0,4228250.0,20.0,44.0,1025.0,1.0,0.0,9.0,229264
12257,22,45.0,1208.0,5774821.0,5777640.0,4210081.0,55.0,51.0,1028.0,1.0,0.0,5.0,229264
12258,23,78.0,1286.0,594193.0,594983.0,3770941.0,10.0,70.0,1025.0,2.0,0.0,9.0,229264
12259,24,81.0,1367.0,6775067.0,6775175.0,4289036.0,65.0,29.0,1025.0,1.0,0.0,10.0,229264
12260,25,47.0,1414.0,10045534.0,10045567.0,4965555.0,90.0,35.0,1024.0,1.0,0.0,8.0,229264
